4a00000Y0900,Y09,250929,0
YWY,,09:30
XAY,192

8000000Y26C0,Y26,250729-30,0
KMM,,19:00
ENM,860

8000000Y26D0,Y26,250930-1001,0
KMM,,21:40
ENM,700

8400000Y27A0,Y27,250730,0
ENM,,21:50
MHM,213,467
VBM,14,46
VJM,210

8L00000Y27A0,Y27,250801,0
VJM,,04:00
YTM,353

8400000Y27B0,Y27,251001,0
ENM,,21:50
MHM,213,467
VBM,14,46
VJM,210

8L00000Y27B0,Y27,251005,0
VJM,,04:00
YTM,353

8L00000Y28B0,Y25,250801-02,0
8L00000Y28C0,Y25,251005-06,0
YTM,,23:30
VBM,570,60
MHM,14,61
ENM,115,43
KMM,422

1200000Y3460,Y34,250707-09,0
SYT,,00:32
JZD,167,11
SHD,138,20
FNP,42,2
TSP,106,6
TJP,86,30
DZP,322,67
JNK,208,13
TAK,47,4
XCH,231,19
BBH,165,11
CUH,78,41
NJH,66,34
CZH,81,4
WXH,27,4
SZH,138,10
KSH,24,6
IMH,116,14
JXH,60,5
HNH,20,3
HZH,41,15
YWH,82,7
JBH,44,14
QEH,88,6
SRG,105

1200000Y3480,Y34,250709,0
SYT,,00:32
JNK,1205

1200000Y3490,Y34,250711,0
SYT,,00:32
JZD,167,11
SHD,138,20
TSP,150,6
TJP,86

1200000Y34A0,Y34,250722,0
SYT,,00:32
JZD,167,11
SHD,138

1200000Y3470,Y34,250811,0
SYT,,00:32
SHD,316

3300000Y3500,Y35,250708,0
NDC,,14:44
HHC,12,15
BTC,179,20
FMC,180,6
乌海东,109,2
HMJ,42,20
YIJ,72,8
ZWJ,140,15
WWJ,187,34
ZYJ,184,6
JGJ,165,8
SHJ,112,10
安北,48,23
DHR,54,6
哈密东,231,20
TFR,271,6
WAR,115

3300000Y3520,Y35,250801-03,0
NDC,,14:44
HHC,12,15
BTC,179,20
FMC,180,6
乌海东,107,4
HMJ,42,20
YIJ,72,8
ZWJ,140,15
WWJ,187,34
ZYJ,184,6
JGJ,165,8
SHJ,112,10
安北,48,23
DHR,54,6
哈密东,231,20
TFR,271,6
WAR,115

9200000Y3680,Y36,250703,0
HMR,,00:40
DHR,298

9200000Y3690,Y36,250706,0
HMR,,00:40
哈密东,20,30
DHR,248

9200000Y36A0,Y36,250717,0
HMR,,00:40
DHR,298

9200000Y36B0,Y36,250723,0
HMR,,00:40
DHR,298,6
SHJ,96,7
JGJ,114,8
ZYJ,142,6
WWJ,188,15
ZWJ,204,17
YIJ,209,20
HMJ,71,24
WXC,20,2
FMC,128,6
BTC,155,15
NDC,199

9200000Y36C0,Y36,250729,0
9200000Y36D0,Y36,250801,0
9200000Y36E0,Y36,250813,0
HMR,,00:40
DHR,298

9200000Y36F0,Y36,250816-17,0
HMR,,00:40
DHR,298,6
SHJ,96,7
JGJ,114,8
ZYJ,142,6
WWJ,188,15
ZWJ,204,17
YIJ,209,20
HMJ,71,24
WXC,20,2
FMC,128,6
BTC,155,15
NDC,199

0500000Y3600,Y36,250821,0
HRX,,19:15
MLX,142

9200000Y36G0,Y36,250904,0
9200000Y36I0,Y36,250913,0
9200000Y36H0,Y36,250914,0
9200000Y36J0,Y36,250920,0
HMR,,00:40
DHR,298

9200000Y36K0,Y36,250921,0
HMR,,00:40
DHR,20

9300000Y3670,Y36,250923-24,0
TFR,,20:26
DHR,552

9200000Y36L0,Y36,250925-27,0
DHR,,05:44
SHJ,96,7
JGJ,114,8
ZYJ,142,6
WWJ,188,15
ZWJ,204,17
YIJ,209,20
HMJ,71,24
FMC,145,6
BTC,155,20
NDC,199,6
JAC,84,20
ZXC,230,9
OGC,71,9
DBC,362,24
TLD,339,31
SBT,212,24
TLT,72,3
SPT,121,2
GLT,53,3
CCT,45

9200000Y36M0,Y36,250926,0
HMR,,00:40
DHR,298

6500000Y4000,Y40,251011,0
GBA,,15:30
YTQ,45,3
YDQ,42,9
SGQ,61,11
CZQ,105,6
HYQ,103,13
ZZQ,84,20
XTQ,25,10
LDQ,67,6
HHQ,300,10
RDQ,79,6
ETW,105,6
QNW,89,6
CUW,197,39
GYW,330,24
AMJ,15,25
INJ,77,6
LZJ,346

8800000Y4200,Y42,250809,0
XNO,,05:55
GYW,624

7600000Y4200,Y39,251019,0
GYW,,16:25
CUW,283,30
QNW,187,6
